locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFCHDMIM_01804	CDS	351				hypothetical protein
CFCHDMIM_01805	CDS	966				hypothetical protein
CFCHDMIM_01806	CDS	504	uao			Uric acid degradation bifunctional protein
CFCHDMIM_01807	CDS	324	hiuH	3.5.2.17		5-hydroxyisourate hydrolase
CFCHDMIM_01808	CDS	1368	pucK		COG2233	Uric acid permease PucK
CFCHDMIM_01809	CDS	726				hypothetical protein
CFCHDMIM_01810	CDS	1158	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
CFCHDMIM_01811	CDS	1011	alc	3.5.3.4		allantoicase
CFCHDMIM_01812	CDS	504	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
CFCHDMIM_01813	CDS	795	fabG_6	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CFCHDMIM_01814	CDS	1884	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
CFCHDMIM_01815	CDS	582				hypothetical protein
CFCHDMIM_01816	CDS	1344				hypothetical protein
CFCHDMIM_01817	CDS	699				hypothetical protein
CFCHDMIM_01818	CDS	1596				hypothetical protein
CFCHDMIM_01819	CDS	303				hypothetical protein
CFCHDMIM_01820	CDS	3327				hypothetical protein
CFCHDMIM_01821	CDS	516	dsbB			Disulfide bond formation protein B
CFCHDMIM_01822	CDS	1578	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
CFCHDMIM_01823	CDS	540				hypothetical protein
CFCHDMIM_01824	CDS	564				hypothetical protein
CFCHDMIM_01825	CDS	1311				hypothetical protein
CFCHDMIM_01826	CDS	1155	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
CFCHDMIM_01827	CDS	1368	mepA			Multidrug export protein MepA
CFCHDMIM_01828	CDS	834	sadH	1.-.-.-		Putative oxidoreductase SadH
CFCHDMIM_01829	CDS	672	betI_6			HTH-type transcriptional regulator BetI
CFCHDMIM_01830	CDS	711	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
CFCHDMIM_01831	CDS	1359	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
CFCHDMIM_01832	CDS	1197				hypothetical protein
CFCHDMIM_01833	CDS	759				hypothetical protein
CFCHDMIM_01834	CDS	420				hypothetical protein
CFCHDMIM_01835	CDS	1221				hypothetical protein
CFCHDMIM_01836	CDS	852	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
CFCHDMIM_01837	CDS	855	rhdA	2.8.1.1	COG2897	Thiosulfate sulfurtransferase
CFCHDMIM_01838	CDS	1215	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase 2
CFCHDMIM_01839	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
CFCHDMIM_01840	CDS	486				hypothetical protein
CFCHDMIM_01841	CDS	336				hypothetical protein
CFCHDMIM_01842	CDS	1224	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
CFCHDMIM_01843	CDS	1290				hypothetical protein
CFCHDMIM_01844	CDS	1122	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
CFCHDMIM_01845	CDS	471	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
CFCHDMIM_01846	CDS	450	nusB			Transcription antitermination protein NusB
CFCHDMIM_01847	CDS	918	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
CFCHDMIM_01848	CDS	516	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
CFCHDMIM_01849	CDS	1365	glmU			Bifunctional protein GlmU
CFCHDMIM_01850	CDS	1839	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
CFCHDMIM_01851	CDS	801	racE	5.1.1.3	COG0796	Glutamate racemase 1
CFCHDMIM_01852	CDS	639			COG0546	putative protein
CFCHDMIM_01853	CDS	1827				hypothetical protein
CFCHDMIM_01854	CDS	954	hutG	3.5.3.8	COG0010	Formimidoylglutamase
CFCHDMIM_01855	CDS	1206	hutI	3.5.2.7	COG1228	Imidazolonepropionase
CFCHDMIM_01856	CDS	1413	proY		COG1113	Proline-specific permease ProY
CFCHDMIM_01857	CDS	1539	hutH_1	4.3.1.3	COG2986	Histidine ammonia-lyase
CFCHDMIM_01858	CDS	1677	hutU	4.2.1.49	COG2987	Urocanate hydratase
CFCHDMIM_01859	CDS	576	ves		COG3758	Protein Ves
CFCHDMIM_01860	CDS	753	nagR_2		COG2188	HTH-type transcriptional repressor NagR
CFCHDMIM_01861	CDS	714	cntO_3		COG1629	Metal-pseudopaline receptor CntO
CFCHDMIM_01862	CDS	567		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
CFCHDMIM_01863	CDS	825	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
CFCHDMIM_01864	CDS	291	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
CFCHDMIM_01865	CDS	462				hypothetical protein
CFCHDMIM_01866	CDS	432	mscL		COG1970	Large-conductance mechanosensitive channel
CFCHDMIM_01867	CDS	1836	typA		COG1217	GTP-binding protein TypA/BipA
CFCHDMIM_01868	CDS	1359	xanP		COG2233	Xanthine permease XanP
CFCHDMIM_01869	CDS	1014	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
CFCHDMIM_01870	CDS	1461	lysP		COG0833	Lysine-specific permease
CFCHDMIM_01871	CDS	1206	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
CFCHDMIM_01872	CDS	159				hypothetical protein
CFCHDMIM_01873	CDS	1071			COG2885	Outer membrane protein Omp38
CFCHDMIM_01874	CDS	516				hypothetical protein
CFCHDMIM_01875	CDS	1176	thlA_2	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
CFCHDMIM_01876	CDS	444				hypothetical protein
CFCHDMIM_01877	CDS	354	mdtI			Spermidine export protein MdtI
CFCHDMIM_01878	CDS	486				hypothetical protein
CFCHDMIM_01879	CDS	1644	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
CFCHDMIM_01880	CDS	2406	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
CFCHDMIM_01881	CDS	1254	oprB_1		COG3659	Porin B
CFCHDMIM_01882	CDS	1119	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
CFCHDMIM_01883	CDS	1011				putative HTH-type transcriptional regulator
CFCHDMIM_01884	CDS	1206	fadA_2	2.3.1.-	COG0183	Putative acyltransferase
CFCHDMIM_01885	CDS	2136	fadJ_2		COG1024	Fatty acid oxidation complex subunit alpha
CFCHDMIM_01886	CDS	255				hypothetical protein
CFCHDMIM_01887	CDS	861				hypothetical protein
CFCHDMIM_01888	CDS	420		2.3.1.-		Acetyltransferase
CFCHDMIM_01889	CDS	969				hypothetical protein
CFCHDMIM_01890	CDS	276				hypothetical protein
CFCHDMIM_01891	CDS	630				hypothetical protein
CFCHDMIM_01892	CDS	1311	yhjE			Inner membrane metabolite transport protein YhjE
CFCHDMIM_01893	CDS	444				hypothetical protein
CFCHDMIM_01894	CDS	2724	secA		COG0653	Protein translocase subunit SecA
CFCHDMIM_01895	CDS	642		1.11.1.15	COG0450	Peroxiredoxin
CFCHDMIM_01896	CDS	903		3.-.-.-		putative metallo-hydrolase
CFCHDMIM_01897	CDS	579				hypothetical protein
CFCHDMIM_01898	CDS	1071	dedD			Cell division protein DedD
CFCHDMIM_01899	CDS	1287	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
CFCHDMIM_01900	CDS	897	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
CFCHDMIM_01901	CDS	804	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
CFCHDMIM_01902	CDS	1050				hypothetical protein
CFCHDMIM_01903	CDS	876				hypothetical protein
CFCHDMIM_01904	CDS	996				hypothetical protein
CFCHDMIM_01905	CDS	513				hypothetical protein
CFCHDMIM_01906	CDS	1230	trpB_2	4.2.1.20	COG0133	Tryptophan synthase beta chain
CFCHDMIM_01907	CDS	660	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
CFCHDMIM_01908	CDS	1872	btuB_3		COG4206	Vitamin B12 transporter BtuB
CFCHDMIM_01909	CDS	579	cobO	2.5.1.-	COG2096	Cobalamin adenosyltransferase
CFCHDMIM_01910	CDS	714	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
CFCHDMIM_01911	CDS	531				hypothetical protein
CFCHDMIM_01912	CDS	1173				hypothetical protein
CFCHDMIM_01913	CDS	1443	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
CFCHDMIM_01914	CDS	687	baeR		COG0745	Transcriptional regulatory protein BaeR
CFCHDMIM_01915	CDS	1557	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
CFCHDMIM_01916	CDS	381				hypothetical protein
CFCHDMIM_01917	CDS	1803	dmdC_3	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
CFCHDMIM_01918	CDS	1782	dmdC_4	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
CFCHDMIM_01919	CDS	897	dmlR_7			HTH-type transcriptional regulator DmlR
CFCHDMIM_01920	CDS	711	gst	2.5.1.18	COG0625	Glutathione S-transferase GST-4.5
CFCHDMIM_01921	CDS	483	psiE			Protein PsiE
CFCHDMIM_01922	CDS	384				hypothetical protein
CFCHDMIM_01923	CDS	447				hypothetical protein
CFCHDMIM_01924	CDS	1464	clsA	2.7.8.-		Cardiolipin synthase A
CFCHDMIM_01925	CDS	2058			COG1629	putative TonB-dependent receptor
CFCHDMIM_01926	CDS	765				hypothetical protein
CFCHDMIM_01927	CDS	1779	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
CFCHDMIM_01928	CDS	1029				hypothetical protein
CFCHDMIM_01929	CDS	219				hypothetical protein
CFCHDMIM_01930	CDS	930				hypothetical protein
CFCHDMIM_01931	CDS	756				hypothetical protein
CFCHDMIM_01932	CDS	891				hypothetical protein
CFCHDMIM_01933	CDS	1035	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
CFCHDMIM_01934	CDS	765				hypothetical protein
CFCHDMIM_01935	CDS	756				hypothetical protein
CFCHDMIM_01936	CDS	1029				hypothetical protein
CFCHDMIM_01937	CDS	891				hypothetical protein
CFCHDMIM_01938	CDS	927	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
CFCHDMIM_01939	CDS	2751	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
CFCHDMIM_01940	CDS	1269	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
CFCHDMIM_01941	tRNA	87				tRNA-Leu(caa)
CFCHDMIM_01942	CDS	1038	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CFCHDMIM_01943	CDS	1029				hypothetical protein
CFCHDMIM_01944	CDS	570				hypothetical protein
CFCHDMIM_01945	CDS	1134	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
CFCHDMIM_01946	CDS	330	yajC		COG1862	Sec translocon accessory complex subunit YajC
CFCHDMIM_01947	CDS	1902	secD		COG0342	Protein translocase subunit SecD
CFCHDMIM_01948	CDS	963	secF		COG0341	Protein translocase subunit SecF
CFCHDMIM_01949	CDS	1254	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CFCHDMIM_01950	CDS	708				hypothetical protein
CFCHDMIM_01951	CDS	912				hypothetical protein
CFCHDMIM_01952	CDS	852	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
CFCHDMIM_01953	CDS	615	yciB_1		COG2917	Intracellular septation protein
CFCHDMIM_01954	CDS	303	yciI		COG2350	Protein YciI
CFCHDMIM_01955	CDS	480				hypothetical protein
CFCHDMIM_01956	CDS	1872	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
CFCHDMIM_01957	CDS	315	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
CFCHDMIM_01958	CDS	489				hypothetical protein
CFCHDMIM_01959	CDS	495				hypothetical protein
CFCHDMIM_01960	CDS	423		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
CFCHDMIM_01961	CDS	438	trxC	1.8.1.8	COG0526	Thioredoxin 2
CFCHDMIM_01962	CDS	897	aidA_1			Quorum-quenching protein AidA
CFCHDMIM_01963	CDS	336	blh_2	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
CFCHDMIM_01964	CDS	1476				hypothetical protein
CFCHDMIM_01965	CDS	1374	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
CFCHDMIM_01966	CDS	2772	polA	2.7.7.7	COG0258	DNA polymerase I
CFCHDMIM_01967	CDS	570				hypothetical protein
CFCHDMIM_01968	CDS	831	proC_2	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
CFCHDMIM_01969	CDS	1284	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
CFCHDMIM_01970	CDS	822	accA_1	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CFCHDMIM_01971	CDS	1521	ppx	3.6.1.11	COG0248	Exopolyphosphatase
CFCHDMIM_01972	CDS	327				Thioredoxin C-2
CFCHDMIM_01973	CDS	1269	rho	3.6.4.-	COG1158	Transcription termination factor Rho
CFCHDMIM_01974	CDS	246				hypothetical protein
CFCHDMIM_01975	CDS	297	ihfA		COG0776	Integration host factor subunit alpha
CFCHDMIM_01976	CDS	2382	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
CFCHDMIM_01977	CDS	981	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
CFCHDMIM_01978	CDS	1002				hypothetical protein
CFCHDMIM_01979	CDS	504				hypothetical protein
CFCHDMIM_01980	CDS	558				hypothetical protein
CFCHDMIM_01981	CDS	360	rplT		COG0292	50S ribosomal protein L20
CFCHDMIM_01982	CDS	195	rpmI		COG0291	50S ribosomal protein L35
CFCHDMIM_01983	CDS	1251	entS		COG0477	Enterobactin exporter EntS
CFCHDMIM_01984	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
CFCHDMIM_01985	CDS	621	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
CFCHDMIM_01986	CDS	321	infC		COG0290	Translation initiation factor IF-3
CFCHDMIM_01987	CDS	1923	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
CFCHDMIM_01988	CDS	1629		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
CFCHDMIM_01989	CDS	537				hypothetical protein
CFCHDMIM_01990	CDS	312	ptsO		COG1925	Phosphocarrier protein NPr
CFCHDMIM_01991	CDS	852	rapZ		COG1660	RNase adapter protein RapZ
CFCHDMIM_01992	CDS	849	panC	6.3.2.1	COG0414	Pantothenate synthetase
CFCHDMIM_01993	CDS	810	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
CFCHDMIM_01994	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CFCHDMIM_01995	CDS	1464	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
CFCHDMIM_01996	CDS	411			COG1555	putative protein
CFCHDMIM_01997	CDS	807	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
CFCHDMIM_01998	CDS	774	linX	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
CFCHDMIM_01999	CDS	2307	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
CFCHDMIM_02000	CDS	1392	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
CFCHDMIM_02001	CDS	819				hypothetical protein
CFCHDMIM_02002	CDS	915	cysM	2.5.1.47	COG0031	Cysteine synthase B
CFCHDMIM_02003	CDS	2808	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
CFCHDMIM_02004	CDS	789	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
CFCHDMIM_02005	CDS	867	glxR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
CFCHDMIM_02006	CDS	795	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
CFCHDMIM_02007	CDS	402	rsfS			Ribosomal silencing factor RsfS
CFCHDMIM_02008	CDS	822	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
CFCHDMIM_02009	CDS	1455	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
CFCHDMIM_02010	CDS	315	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
CFCHDMIM_02011	CDS	1128	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
CFCHDMIM_02012	CDS	927				hypothetical protein
CFCHDMIM_02013	CDS	408				hypothetical protein
CFCHDMIM_02014	CDS	1185				putative transporter
CFCHDMIM_02015	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
CFCHDMIM_02016	CDS	510				hypothetical protein
CFCHDMIM_02017	CDS	894	benM_3			HTH-type transcriptional regulator BenM
CFCHDMIM_02018	CDS	765	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
CFCHDMIM_02019	CDS	474				hypothetical protein
CFCHDMIM_02020	CDS	2757	acnA	4.2.1.3	COG1048	Aconitate hydratase A
CFCHDMIM_02021	CDS	813	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
CFCHDMIM_02022	CDS	945				hypothetical protein
CFCHDMIM_02023	CDS	843				hypothetical protein
CFCHDMIM_02024	CDS	1593	prfC		COG4108	Peptide chain release factor RF3
CFCHDMIM_02025	CDS	864				hypothetical protein
CFCHDMIM_02026	CDS	588	betI_7			HTH-type transcriptional regulator BetI
CFCHDMIM_02027	CDS	564				hypothetical protein
CFCHDMIM_02028	CDS	2055			COG2200	putative signaling protein
CFCHDMIM_02029	CDS	1017	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
CFCHDMIM_02030	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
CFCHDMIM_02031	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
CFCHDMIM_02032	CDS	330				hypothetical protein
CFCHDMIM_02033	CDS	2625	leuS	6.1.1.4		Leucine--tRNA ligase
CFCHDMIM_02034	CDS	510	lptE			LPS-assembly lipoprotein LptE
CFCHDMIM_02035	CDS	990	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
CFCHDMIM_02036	CDS	1341	macA		COG0845	Macrolide export protein MacA
CFCHDMIM_02037	CDS	1995	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
CFCHDMIM_02038	CDS	1407	tdeA		COG1538	Toxin and drug export protein A
CFCHDMIM_02039	CDS	804	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
CFCHDMIM_02040	CDS	732				hypothetical protein
CFCHDMIM_02041	CDS	567	orn	3.1.-.-	COG1949	Oligoribonuclease
CFCHDMIM_02042	CDS	1059	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
CFCHDMIM_02043	CDS	417	yibN		COG0607	putative protein YibN
CFCHDMIM_02044	CDS	258	grxC		COG0695	Glutaredoxin 3
CFCHDMIM_02045	CDS	459	secB		COG1952	Protein-export protein SecB
CFCHDMIM_02046	CDS	657				hypothetical protein
CFCHDMIM_02047	CDS	435				hypothetical protein
CFCHDMIM_02048	CDS	1227	fabB_2	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
CFCHDMIM_02049	CDS	726	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CFCHDMIM_02050	CDS	426				hypothetical protein
CFCHDMIM_02051	CDS	1203				hypothetical protein
CFCHDMIM_02052	CDS	546				hypothetical protein
CFCHDMIM_02053	CDS	1296	ctcP	1.14.19.49		Tetracycline 7-halogenase
CFCHDMIM_02054	CDS	2316				hypothetical protein
CFCHDMIM_02055	CDS	630	lolA_1			Outer-membrane lipoprotein carrier protein
CFCHDMIM_02056	CDS	429		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
CFCHDMIM_02057	CDS	1536	hutH_2	4.3.1.3		Histidine ammonia-lyase
CFCHDMIM_02058	CDS	927	lpxL_3	2.3.1.241		Lipid A biosynthesis lauroyltransferase
CFCHDMIM_02059	CDS	741		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
CFCHDMIM_02060	CDS	1608	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
CFCHDMIM_02061	CDS	195				hypothetical protein
CFCHDMIM_02062	CDS	1587	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
CFCHDMIM_02063	CDS	1146	cydB_2	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
CFCHDMIM_02064	CDS	102	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
CFCHDMIM_02065	CDS	297				hypothetical protein
CFCHDMIM_02066	CDS	525				hypothetical protein
CFCHDMIM_02067	CDS	672				hypothetical protein
CFCHDMIM_02068	CDS	597				hypothetical protein
CFCHDMIM_02069	CDS	1107	ftsY		COG0552	Signal recognition particle receptor FtsY
CFCHDMIM_02070	CDS	327				hypothetical protein
CFCHDMIM_02071	CDS	360				hypothetical protein
CFCHDMIM_02072	CDS	234				hypothetical protein
CFCHDMIM_02073	CDS	426				hypothetical protein
CFCHDMIM_02074	CDS	432	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
CFCHDMIM_02075	CDS	1209	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
CFCHDMIM_02076	CDS	342	grxD		COG0278	Glutaredoxin 4
CFCHDMIM_02077	CDS	324				hypothetical protein
CFCHDMIM_02078	CDS	903	dmlR_8			HTH-type transcriptional regulator DmlR
CFCHDMIM_02079	CDS	795	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
CFCHDMIM_02080	CDS	1302	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
CFCHDMIM_02081	CDS	420				hypothetical protein
CFCHDMIM_02082	CDS	246				hypothetical protein
CFCHDMIM_02083	CDS	465				hypothetical protein
CFCHDMIM_02084	CDS	861				hypothetical protein
CFCHDMIM_02085	CDS	2859				hypothetical protein
CFCHDMIM_02086	CDS	948	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
CFCHDMIM_02087	CDS	1719	fruA		COG1299	PTS system fructose-specific EIIB'BC component
CFCHDMIM_02088	CDS	171				hypothetical protein
CFCHDMIM_02089	CDS	264				hypothetical protein
CFCHDMIM_02090	CDS	465	mprA		COG1846	Transcriptional repressor MprA
CFCHDMIM_02091	CDS	216				hypothetical protein
CFCHDMIM_02092	CDS	2094				hypothetical protein
CFCHDMIM_02093	CDS	444				Putative universal stress protein
CFCHDMIM_02094	CDS	1443	gdhB_1	1.1.5.2	COG2133	Quinoprotein glucose dehydrogenase B
CFCHDMIM_02095	CDS	639				hypothetical protein
CFCHDMIM_02096	CDS	1455	bicA_1		COG0659	Bicarbonate transporter BicA
CFCHDMIM_02097	CDS	1179		3.4.21.-		Extracellular serine proteinase
CFCHDMIM_02098	CDS	747				hypothetical protein
CFCHDMIM_02099	CDS	1407	pheP		COG1113	Phenylalanine-specific permease
CFCHDMIM_02100	CDS	1251	kynU	3.7.1.3		Kynureninase
CFCHDMIM_02101	CDS	450	decR_1		COG1522	DNA-binding transcriptional activator DecR
CFCHDMIM_02102	CDS	537		2.3.1.-	COG1670	Acetyltransferase
CFCHDMIM_02103	CDS	294				hypothetical protein
CFCHDMIM_02104	CDS	237				hypothetical protein
CFCHDMIM_02105	CDS	360				hypothetical protein
CFCHDMIM_02106	CDS	687	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
CFCHDMIM_02107	CDS	441	hslR		COG1188	Heat shock protein 15
CFCHDMIM_02108	CDS	1050	recA		COG0468	Protein RecA
CFCHDMIM_02109	CDS	483	recX		COG2137	Regulatory protein RecX
CFCHDMIM_02110	CDS	885	cpoB			Cell division coordinator CpoB
CFCHDMIM_02111	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
CFCHDMIM_02112	CDS	486	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
CFCHDMIM_02113	CDS	1071	lpxD_2	2.3.1.-		UDP-3-O-acylglucosamine N-acyltransferase
CFCHDMIM_02114	CDS	504				hypothetical protein
CFCHDMIM_02115	CDS	2526	bamA_2		COG4775	Outer membrane protein assembly factor BamA
CFCHDMIM_02116	CDS	1356	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
CFCHDMIM_02117	CDS	1197	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
CFCHDMIM_02118	CDS	825				hypothetical protein
CFCHDMIM_02119	CDS	753	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
CFCHDMIM_02120	CDS	555	frr		COG0233	Ribosome-recycling factor
CFCHDMIM_02121	CDS	729	pyrH	2.7.4.22	COG0528	Uridylate kinase
CFCHDMIM_02122	CDS	1344	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
CFCHDMIM_02123	CDS	1110	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
CFCHDMIM_02124	CDS	1494	glnG		COG2204	DNA-binding transcriptional regulator NtrC
CFCHDMIM_02125	CDS	654				hypothetical protein
CFCHDMIM_02126	CDS	921	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
CFCHDMIM_02127	CDS	525				hypothetical protein
CFCHDMIM_02128	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
CFCHDMIM_02129	CDS	645				hypothetical protein
CFCHDMIM_02130	CDS	1245	dadA	1.4.99.-	COG0665	D-amino acid dehydrogenase
CFCHDMIM_02131	CDS	492				hypothetical protein
CFCHDMIM_02132	CDS	462				hypothetical protein
CFCHDMIM_02133	CDS	297				hypothetical protein
CFCHDMIM_02134	CDS	1395	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
CFCHDMIM_02135	CDS	1008	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
CFCHDMIM_02136	CDS	369	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
CFCHDMIM_02137	CDS	351				hypothetical protein
CFCHDMIM_02138	CDS	285				hypothetical protein
CFCHDMIM_02139	CDS	312	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
CFCHDMIM_02140	CDS	864				hypothetical protein
CFCHDMIM_02141	CDS	1440	norG_2		COG1167	HTH-type transcriptional regulator NorG
CFCHDMIM_02142	CDS	483			COG1733	putative HTH-type transcriptional regulator
CFCHDMIM_02143	CDS	1236	moeA	2.10.1.1		Molybdopterin molybdenumtransferase
CFCHDMIM_02144	CDS	924	moaC			Cyclic pyranopterin monophosphate synthase
